date,year,month,dekad_of_year,abs_dekad,rainfall_mm,tmax_c,tmin_c,is_wet_dekad,season,location
1981-01-01,1981,1,1,720,24.47059,22.86169,12.90544,1,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-01-11,1981,1,2,721,10.87783,24.54681,12.88619,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-01-21,1981,1,3,722,13.90498,23.70454,13.2062,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-02-01,1981,2,4,723,15.46606,23.47768,13.04146,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-02-11,1981,2,5,724,18.48416,22.84312,13.25336,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-02-21,1981,2,6,725,15.60633,23.68134,13.27996,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-03-01,1981,3,7,726,40.16742,23.24372,14.66805,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-03-11,1981,3,8,727,61.41177,20.63271,13.50994,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-03-21,1981,3,9,728,71.62896,21.23574,13.98914,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-04-01,1981,4,10,729,47.60633,22.48326,13.15103,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-04-11,1981,4,11,730,60.42534,21.31991,14.43684,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-04-21,1981,4,12,731,32.8552,21.95961,13.85914,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-05-01,1981,5,13,732,34.04525,22.58346,14.01178,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-05-11,1981,5,14,733,56.31674,20.55553,13.42523,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-05-21,1981,5,15,734,14.54751,21.66303,13.53551,0,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-06-01,1981,6,16,735,6.21267,22.11646,13.30792,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-06-11,1981,6,17,736,3.959276,22.39901,11.12822,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-06-21,1981,6,18,737,2.904977,23.54177,12.24533,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-07-01,1981,7,19,738,0.321267,23.23157,11.99663,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-07-11,1981,7,20,739,1.954751,22.18495,13.4491,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-07-21,1981,7,21,740,3.488688,22.84291,12.79,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-08-01,1981,8,22,741,3.470588,23.3099,13.62003,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-08-11,1981,8,23,742,27.52489,21.91921,13.47952,1,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-08-21,1981,8,24,743,14.82805,22.40991,13.11555,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-09-01,1981,9,25,744,26.64706,21.34065,12.30761,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-09-11,1981,9,26,745,15.26244,22.24976,12.51867,0,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-09-21,1981,9,27,746,34.83258,23.57393,13.65066,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-10-01,1981,10,28,747,29.62443,23.00418,13.42679,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-10-11,1981,10,29,748,19.85973,23.30482,13.00317,0,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-10-21,1981,10,30,749,38.60181,23.04557,13.35946,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-11-01,1981,11,31,750,36.56108,22.95869,12.74338,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-11-11,1981,11,32,751,21.26697,23.42253,12.81759,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-11-21,1981,11,33,752,26.95023,22.9703,12.85178,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
