year,crop,window_start_dekad,crop_is_maize,cum_rain_since_sep1,onset_reached,last_dekad_rain,last3_rain,last3_anom_z,prev_dekad_wet,pre_jul_aug_mm,prev_mam_mm,prev_sond_total,pre_tmax_anom,p_rain_sufficient,p_dry_spell,p_temp_stress,risk_score,sim_margin_median,sim_margin_p10,label
1982,maize,25,1,0.0,0,10.5,21.9,-0.62,0,25.5,357.4,323.1,-0.522,0.975,0.118,0.0,0.048,63.9,21.4,suitable
1982,beans,25,0,0.0,0,10.5,21.9,-0.62,0,25.5,357.4,323.1,-0.522,0.894,0.09,0.013,0.083,33.5,-1.1,suitable
1982,maize,26,1,17.6,0,17.6,31.0,-1.225,0,25.5,357.4,323.1,-0.522,0.918,0.164,0.0,0.09,44.8,5.7,suitable
1982,beans,26,0,17.6,0,17.6,31.0,-1.225,0,25.5,357.4,323.1,-0.522,0.926,0.15,0.002,0.082,38.5,2.8,suitable
1982,maize,27,1,60.7,1,43.1,71.2,-0.253,1,25.5,357.4,323.1,-0.522,0.877,0.049,0.0,0.076,35.0,-3.6,suitable
1982,beans,27,0,60.7,1,43.1,71.2,-0.253,1,25.5,357.4,323.1,-0.522,0.977,0.047,0.002,0.026,52.2,20.3,suitable
1982,maize,28,1,100.6,1,40.0,100.6,0.79,1,25.5,357.4,323.1,-0.522,0.777,0.005,0.0,0.113,22.6,-14.1,suitable
1982,beans,28,0,100.6,1,40.0,100.6,0.79,1,25.5,357.4,323.1,-0.522,0.99,0.005,0.0,0.007,54.8,25.1,suitable
1982,maize,29,1,120.7,1,20.1,103.1,0.58,1,25.5,357.4,323.1,-0.522,0.567,0.002,0.0,0.217,4.9,-30.9,suitable
1982,beans,29,0,120.7,1,20.1,103.1,0.58,1,25.5,357.4,323.1,-0.522,0.984,0.002,0.001,0.009,45.9,19.0,suitable
1982,maize,30,1,164.4,1,43.7,103.8,0.039,1,25.5,357.4,323.1,-0.522,0.326,0.001,0.0,0.337,-14.9,-51.3,risky
1982,beans,30,0,164.4,1,43.7,103.8,0.039,1,25.5,357.4,323.1,-0.522,0.964,0.001,0.001,0.019,35.0,9.4,suitable
1982,maize,31,1,201.8,1,37.3,101.1,-0.656,1,25.5,357.4,323.1,-0.522,0.145,0.007,0.0,0.43,-36.6,-76.6,risky
1982,beans,31,0,201.8,1,37.3,101.1,-0.656,1,25.5,357.4,323.1,-0.522,0.6,0.007,0.004,0.203,5.1,-21.9,suitable
1982,maize,32,1,240.8,1,39.0,120.1,0.088,1,25.5,357.4,323.1,-0.522,0.212,0.002,0.0,0.395,-28.7,-67.8,risky
1982,beans,32,0,240.8,1,39.0,120.1,0.088,1,25.5,357.4,323.1,-0.522,0.275,0.0,0.005,0.363,-12.4,-39.6,risky
1982,maize,33,1,270.6,1,29.8,106.2,-0.661,1,25.5,357.4,323.1,-0.522,0.214,0.022,0.0,0.4,-31.1,-74.2,risky
1982,beans,33,0,270.6,1,29.8,106.2,-0.661,1,25.5,357.4,323.1,-0.522,0.05,0.014,0.02,0.483,-41.8,-68.8,risky
