year,crop,crop_is_maize,window_start_dekad,cum_rain_since_sep1,onset_reached,last_dekad_rain,last3_rain,last3_anom_z,prev_dekad_wet,pre_jul_aug_mm,prev_mam_mm,prev_sond_total,pre_tmax_anom,p_rain_sufficient,p_dry_spell,p_temp_stress,risk_score,sim_margin_median,sim_margin_p10,sim_cycle_rain_p10,sim_cycle_rain_median,sim_cycle_rain_p90,actual_cycle_rain,actual_estab_rain,actual_estab_dry_run,actual_tmax_mean,estab_dry_spell,temp_stress,label,label_id
1982,maize,1,25,0.0,0,10.5,21.9,-0.62,0,25.5,357.4,323.1,-0.522,0.975,0.118,0.0,0.048,63.9,21.4,351.4,393.9,436.0,428.7,100.6,1,22.82,0,0,suitable,0
1982,beans,0,25,0.0,0,10.5,21.9,-0.62,0,25.5,357.4,323.1,-0.522,0.894,0.09,0.013,0.083,33.5,-1.1,198.9,233.5,272.4,240.8,100.6,1,22.83,0,0,suitable,0
1982,maize,1,26,17.6,0,17.6,31.0,-1.225,0,25.5,357.4,323.1,-0.522,0.918,0.164,0.0,0.09,44.8,5.7,335.7,374.8,418.5,419.5,103.1,0,22.64,0,0,suitable,0
1982,beans,0,26,17.6,0,17.6,31.0,-1.225,0,25.5,357.4,323.1,-0.522,0.926,0.15,0.002,0.082,38.5,2.8,202.8,238.5,275.5,253.1,103.1,0,22.39,0,0,suitable,0
1982,maize,1,27,60.7,1,43.1,71.2,-0.253,1,25.5,357.4,323.1,-0.522,0.877,0.049,0.0,0.076,35.0,-3.6,326.4,365.0,404.7,376.4,103.8,0,22.77,0,0,suitable,0
1982,beans,0,27,60.7,1,43.1,71.2,-0.253,1,25.5,357.4,323.1,-0.522,0.977,0.047,0.002,0.026,52.2,20.3,220.3,252.2,284.9,266.8,103.8,0,22.25,0,0,suitable,0
1982,maize,1,28,100.6,1,40.0,100.6,0.79,1,25.5,357.4,323.1,-0.522,0.777,0.005,0.0,0.113,22.6,-14.1,315.9,352.6,392.3,342.7,101.1,0,22.98,0,0,suitable,0
1982,beans,0,28,100.6,1,40.0,100.6,0.79,1,25.5,357.4,323.1,-0.522,0.99,0.005,0.0,0.007,54.8,25.1,225.1,254.8,283.5,268.3,101.1,0,22.25,0,0,suitable,0
1982,maize,1,29,120.7,1,20.1,103.1,0.58,1,25.5,357.4,323.1,-0.522,0.567,0.002,0.0,0.217,4.9,-30.9,299.1,334.9,377.8,344.1,120.1,0,23.12,0,0,suitable,0
1982,beans,0,29,120.7,1,20.1,103.1,0.58,1,25.5,357.4,323.1,-0.522,0.984,0.002,0.001,0.009,45.9,19.0,219.0,245.9,276.6,285.3,120.1,0,22.31,0,0,suitable,0
1982,maize,1,30,164.4,1,43.7,103.8,0.039,1,25.5,357.4,323.1,-0.522,0.326,0.001,0.0,0.337,-14.9,-51.3,278.7,315.1,358.7,321.5,106.2,0,23.34,0,0,risky,1
1982,beans,0,30,164.4,1,43.7,103.8,0.039,1,25.5,357.4,323.1,-0.522,0.964,0.001,0.001,0.019,35.0,9.4,209.4,235.0,261.7,264.2,106.2,0,22.74,0,0,suitable,0
1982,maize,1,31,201.8,1,37.3,101.1,-0.656,1,25.5,357.4,323.1,-0.522,0.145,0.007,0.0,0.43,-36.6,-76.6,253.4,293.4,338.0,285.0,125.7,0,23.48,0,0,risky,1
1982,beans,0,31,201.8,1,37.3,101.1,-0.656,1,25.5,357.4,323.1,-0.522,0.6,0.007,0.004,0.203,5.1,-21.9,178.1,205.1,234.4,235.3,125.7,0,22.79,0,0,suitable,0
1982,maize,1,32,240.8,1,39.0,120.1,0.088,1,25.5,357.4,323.1,-0.522,0.212,0.002,0.0,0.395,-28.7,-67.8,262.2,301.3,347.3,263.9,128.2,0,23.48,0,0,risky,1
1982,beans,0,32,240.8,1,39.0,120.1,0.088,1,25.5,357.4,323.1,-0.522,0.275,0.0,0.005,0.363,-12.4,-39.6,160.4,187.6,213.8,196.3,128.2,0,23.16,0,0,risky,1
1982,maize,1,33,270.6,1,29.8,106.2,-0.661,1,25.5,357.4,323.1,-0.522,0.214,0.022,0.0,0.4,-31.1,-74.2,255.8,298.9,353.2,270.0,135.4,0,23.57,0,0,risky,1
1982,beans,0,33,270.6,1,29.8,106.2,-0.661,1,25.5,357.4,323.1,-0.522,0.05,0.014,0.02,0.483,-41.8,-68.8,131.2,158.2,189.6,172.7,135.4,0,23.5,0,0,risky,1
1983,maize,1,25,0.0,0,17.1,53.9,0.687,0,58.8,328.1,428.7,-0.407,0.993,0.032,0.0,0.013,70.6,33.3,363.3,400.6,441.5,384.2,86.8,0,22.6,0,0,suitable,0
1983,beans,0,25,0.0,0,17.1,53.9,0.687,0,58.8,328.1,428.7,-0.407,0.965,0.028,0.017,0.029,41.6,9.0,209.0,241.6,274.8,223.8,86.8,0,22.68,0,0,suitable,0
1983,maize,1,26,37.2,1,37.2,76.5,0.758,1,58.8,328.1,428.7,-0.407,0.984,0.013,0.0,0.012,56.9,21.0,351.0,386.9,426.6,365.6,69.5,1,22.56,0,0,suitable,0
1983,beans,0,26,37.2,1,37.2,76.5,0.758,1,58.8,328.1,428.7,-0.407,0.988,0.013,0.005,0.011,50.0,19.6,219.6,250.0,282.7,213.8,69.5,1,22.68,0,0,suitable,0
1983,maize,1,27,57.6,1,20.4,74.6,-0.087,1,58.8,328.1,428.7,-0.407,0.882,0.058,0.0,0.076,36.6,-2.5,327.5,366.6,408.2,368.9,92.1,1,22.56,0,0,suitable,0
1983,beans,0,27,57.6,1,20.4,74.6,-0.087,1,58.8,328.1,428.7,-0.407,0.984,0.058,0.003,0.026,54.3,21.0,221.0,254.3,287.7,228.1,92.1,1,22.57,0,0,suitable,0
1983,maize,1,28,86.8,1,29.2,86.8,-0.005,1,58.8,328.1,428.7,-0.407,0.776,0.011,0.0,0.115,21.1,-16.0,314.0,351.1,391.2,344.8,95.7,1,22.64,0,0,suitable,0
1983,beans,0,28,86.8,1,29.2,86.8,-0.005,1,58.8,328.1,428.7,-0.407,0.984,0.01,0.001,0.011,53.9,24.0,224.0,253.9,285.0,226.7,95.7,1,22.47,0,0,suitable,0
1983,maize,1,29,106.7,1,19.9,69.5,-1.272,0,58.8,328.1,428.7,-0.407,0.391,0.107,0.0,0.337,-9.5,-49.7,280.3,320.5,365.1,343.8,117.1,0,22.72,0,0,suitable,0
1983,beans,0,29,106.7,1,19.9,69.5,-1.272,0,58.8,328.1,428.7,-0.407,0.893,0.105,0.001,0.085,31.3,-0.9,199.1,231.3,265.0,239.8,117.1,0,22.59,0,0,suitable,0
1983,maize,1,30,149.7,1,43.0,92.1,-0.582,1,58.8,328.1,428.7,-0.407,0.289,0.007,0.0,0.358,-16.7,-56.2,273.8,313.3,355.0,312.0,101.3,0,22.78,0,0,risky,1
1983,beans,0,30,149.7,1,43.0,92.1,-0.582,1,58.8,328.1,428.7,-0.407,0.933,0.007,0.0,0.036,31.5,4.2,204.2,231.5,258.3,234.6,101.3,0,22.63,0,0,suitable,0
1983,maize,1,31,182.5,1,32.8,95.7,-0.909,1,58.8,328.1,428.7,-0.407,0.137,0.013,0.0,0.435,-37.4,-76.8,253.2,292.6,336.2,292.6,103.2,0,22.69,0,0,risky,1
1983,beans,0,31,182.5,1,32.8,95.7,-0.909,1,58.8,328.1,428.7,-0.407,0.59,0.012,0.006,0.21,4.9,-23.0,177.0,204.9,232.5,220.3,103.2,0,22.61,0,0,suitable,0
1983,maize,1,32,223.8,1,41.3,117.1,-0.063,1,58.8,328.1,428.7,-0.407,0.212,0.002,0.0,0.395,-27.4,-70.9,259.1,302.6,349.4,288.7,89.7,0,22.6,0,0,risky,1
1983,beans,0,32,223.8,1,41.3,117.1,-0.063,1,58.8,328.1,428.7,-0.407,0.268,0.0,0.007,0.367,-12.6,-39.6,160.4,187.4,213.0,202.7,89.7,0,22.62,0,0,suitable,0
1983,maize,1,33,250.9,1,27.2,101.3,-0.96,1,58.8,328.1,428.7,-0.407,0.183,0.037,0.0,0.42,-31.4,-75.0,255.0,298.6,343.6,323.1,95.6,0,22.47,0,0,risky,1
1983,beans,0,33,250.9,1,27.2,101.3,-0.96,1,58.8,328.1,428.7,-0.407,0.018,0.025,0.027,0.504,-42.8,-70.7,129.3,157.2,184.8,180.7,95.6,0,22.7,0,0,risky,1
1984,maize,1,25,0.0,0,34.7,43.1,0.247,1,78.2,290.1,384.2,-0.41,0.991,0.065,0.0,0.024,68.7,28.9,358.9,398.7,437.8,366.6,56.0,1,22.86,1,0,delay,2
1984,beans,0,25,0.0,0,34.7,43.1,0.247,1,78.2,290.1,384.2,-0.41,0.945,0.042,0.01,0.042,37.9,6.6,206.6,237.9,270.2,192.3,56.0,1,23.15,0,0,risky,1
1984,maize,1,26,15.0,0,15.0,55.3,-0.166,0,78.2,290.1,384.2,-0.41,0.96,0.068,0.0,0.04,50.7,11.9,341.9,380.7,421.4,362.5,106.5,1,22.77,0,0,suitable,0
1984,beans,0,26,15.0,0,15.0,55.3,-0.166,0,78.2,290.1,384.2,-0.41,0.969,0.064,0.01,0.037,45.0,12.8,212.8,245.0,277.0,227.1,106.5,1,22.8,0,0,suitable,0
1984,maize,1,27,36.0,0,21.0,70.6,-0.278,1,78.2,290.1,384.2,-0.41,0.879,0.053,0.0,0.076,36.4,-3.2,326.8,366.4,404.3,345.3,108.8,1,22.87,0,0,suitable,0
1984,beans,0,27,36.0,0,21.0,70.6,-0.278,1,78.2,290.1,384.2,-0.41,0.983,0.052,0.003,0.025,53.1,21.0,221.0,253.1,286.5,239.3,108.8,1,22.58,0,0,suitable,0
1984,maize,1,28,56.0,0,20.0,56.0,-1.774,0,78.2,290.1,384.2,-0.41,0.591,0.167,0.0,0.255,7.5,-36.0,294.0,337.5,381.6,363.6,107.7,1,22.75,0,0,suitable,0
1984,beans,0,28,56.0,0,20.0,56.0,-1.774,0,78.2,290.1,384.2,-0.41,0.923,0.166,0.001,0.088,38.4,2.7,202.7,238.4,273.6,251.0,107.7,1,22.41,0,0,suitable,0
1984,maize,1,29,121.5,1,65.5,106.5,0.762,1,78.2,290.1,384.2,-0.41,0.552,0.002,0.0,0.225,3.9,-33.8,296.2,333.9,376.8,327.8,70.8,1,22.63,0,0,risky,1
1984,beans,0,29,121.5,1,65.5,106.5,0.762,1,78.2,290.1,384.2,-0.41,0.989,0.002,0.001,0.006,44.4,17.6,217.6,244.4,273.8,213.5,70.8,1,22.49,0,0,suitable,0
1984,maize,1,30,144.7,1,23.2,108.8,0.302,1,78.2,290.1,384.2,-0.41,0.354,0.001,0.0,0.323,-11.4,-49.4,280.6,318.6,359.8,321.8,97.4,1,22.65,0,0,risky,1
1984,beans,0,30,144.7,1,23.2,108.8,0.302,1,78.2,290.1,384.2,-0.41,0.972,0.001,0.001,0.015,34.7,10.2,210.2,234.7,259.4,221.8,97.4,1,22.36,0,0,suitable,0
1984,maize,1,31,163.6,1,18.9,107.7,-0.349,0,78.2,290.1,384.2,-0.41,0.165,0.001,0.0,0.418,-31.8,-72.0,258.0,298.2,342.4,312.5,111.7,0,22.56,0,0,risky,1
1984,beans,0,31,163.6,1,18.9,107.7,-0.349,0,78.2,290.1,384.2,-0.41,0.687,0.001,0.003,0.157,8.6,-16.9,183.1,208.6,235.2,213.9,111.7,0,22.31,0,0,suitable,0
1984,maize,1,32,192.3,1,28.7,70.8,-2.4,1,78.2,290.1,384.2,-0.41,0.101,0.11,0.0,0.483,-43.5,-86.2,243.8,286.5,330.1,304.5,114.6,0,22.63,0,0,risky,1
1984,beans,0,32,192.3,1,28.7,70.8,-2.4,1,78.2,290.1,384.2,-0.41,0.13,0.098,0.004,0.465,-28.0,-57.4,142.6,172.0,203.2,189.0,114.6,0,22.79,0,0,risky,1
1984,maize,1,33,242.1,1,49.8,97.4,-1.198,1,78.2,290.1,384.2,-0.41,0.198,0.043,0.0,0.414,-29.9,-73.7,256.3,300.1,344.8,277.3,92.9,0,22.87,0,0,risky,1
1984,beans,0,33,242.1,1,49.8,97.4,-1.198,1,78.2,290.1,384.2,-0.41,0.04,0.029,0.03,0.495,-44.4,-71.4,128.6,155.6,185.6,177.5,92.9,0,22.97,0,0,risky,1
1985,maize,1,25,0.0,0,0.1,1.1,-1.468,0,7.9,376.0,366.6,-0.513,0.966,0.211,0.0,0.08,55.6,15.9,345.9,385.6,427.6,400.0,98.2,0,22.72,0,0,suitable,0
1985,beans,0,25,0.0,0,0.1,1.1,-1.468,0,7.9,376.0,366.6,-0.513,0.841,0.175,0.01,0.134,26.8,-7.4,192.6,226.8,263.3,234.4,98.2,0,22.61,0,0,suitable,0
1985,maize,1,26,45.1,1,45.1,45.3,-0.602,1,7.9,376.0,366.6,-0.513,0.948,0.088,0.0,0.052,49.6,10.5,340.5,379.6,418.8,387.3,84.3,0,22.85,0,0,suitable,0
1985,beans,0,26,45.1,1,45.1,45.3,-0.602,1,7.9,376.0,366.6,-0.513,0.948,0.084,0.004,0.052,42.2,10.2,210.2,242.2,276.1,235.8,84.3,0,22.66,0,0,suitable,0
1985,maize,1,27,70.1,1,25.0,70.2,-0.299,1,7.9,376.0,366.6,-0.513,0.855,0.062,0.0,0.091,35.4,-6.1,323.9,365.4,406.7,364.3,95.3,0,22.98,0,0,suitable,0
1985,beans,0,27,70.1,1,25.0,70.2,-0.299,1,7.9,376.0,366.6,-0.513,0.976,0.06,0.002,0.03,51.6,19.0,219.0,251.6,285.0,247.2,95.3,0,22.52,0,0,suitable,0
1985,maize,1,28,98.2,1,28.1,98.2,0.65,1,7.9,376.0,366.6,-0.513,0.785,0.004,0.0,0.109,24.1,-13.1,316.9,354.1,393.8,357.0,100.5,0,23.11,0,0,suitable,0
1985,beans,0,28,98.2,1,28.1,98.2,0.65,1,7.9,376.0,366.6,-0.513,0.988,0.004,0.002,0.008,55.5,26.3,226.3,255.5,286.7,255.1,100.5,0,22.51,0,0,suitable,0
1985,maize,1,29,129.5,1,31.3,84.3,-0.455,1,7.9,376.0,366.6,-0.513,0.496,0.023,0.0,0.259,-0.3,-37.8,292.2,329.7,371.7,355.1,104.9,0,23.03,0,0,suitable,0
1985,beans,0,29,129.5,1,31.3,84.3,-0.455,1,7.9,376.0,366.6,-0.513,0.967,0.023,0.0,0.023,41.2,11.9,211.9,241.2,271.1,244.9,104.9,0,22.54,0,0,suitable,0
1985,maize,1,30,165.4,1,36.0,95.3,-0.41,1,7.9,376.0,366.6,-0.513,0.294,0.005,0.0,0.354,-17.1,-55.4,274.6,312.9,354.0,346.2,115.5,0,22.99,0,0,suitable,0
1985,beans,0,30,165.4,1,36.0,95.3,-0.41,1,7.9,376.0,366.6,-0.513,0.938,0.005,0.002,0.033,30.9,5.1,205.1,230.9,260.7,234.6,115.5,0,22.66,0,0,suitable,0
1985,maize,1,31,198.7,1,33.3,100.5,-0.685,1,7.9,376.0,366.6,-0.513,0.15,0.006,0.0,0.427,-34.6,-73.4,256.6,295.4,336.8,321.3,118.6,0,23.07,0,0,risky,1
1985,beans,0,31,198.7,1,33.3,100.5,-0.685,1,7.9,376.0,366.6,-0.513,0.628,0.006,0.002,0.188,7.3,-22.7,177.3,207.3,234.5,233.7,118.6,0,22.93,0,0,suitable,0
1985,maize,1,32,234.4,1,35.7,104.9,-0.677,1,7.9,376.0,366.6,-0.513,0.176,0.015,0.0,0.417,-32.4,-75.0,255.0,297.6,343.9,338.0,118.9,0,22.99,0,0,suitable,0
1985,beans,0,32,234.4,1,35.7,104.9,-0.677,1,7.9,376.0,366.6,-0.513,0.202,0.009,0.007,0.403,-17.9,-46.2,153.8,182.1,210.9,200.0,118.9,0,23.3,0,0,suitable,0
1985,maize,1,33,280.9,1,46.5,115.5,-0.094,1,7.9,376.0,366.6,-0.513,0.251,0.007,0.0,0.377,-24.6,-70.1,259.9,305.4,350.6,319.8,93.4,0,22.85,0,0,risky,1
1985,beans,0,33,280.9,1,46.5,115.5,-0.094,1,7.9,376.0,366.6,-0.513,0.047,0.003,0.019,0.481,-38.0,-62.4,137.6,162.0,193.0,174.3,93.4,0,23.47,0,0,risky,1
1986,maize,1,25,0.0,0,1.7,6.9,-1.231,0,7.1,348.9,400.0,-0.22,0.973,0.19,0.0,0.071,58.8,20.1,350.1,388.8,430.0,401.5,66.0,1,22.95,0,0,suitable,0
1986,beans,0,25,0.0,0,1.7,6.9,-1.231,0,7.1,348.9,400.0,-0.22,0.882,0.153,0.028,0.11,29.4,-2.4,197.6,229.4,266.9,229.0,66.0,1,23.71,0,0,suitable,0
1986,maize,1,26,28.4,1,28.4,31.9,-1.185,1,7.1,348.9,400.0,-0.22,0.924,0.141,0.0,0.08,44.8,4.5,334.5,374.8,419.0,388.3,74.5,1,22.89,0,0,suitable,0
1986,beans,0,26,28.4,1,28.4,31.9,-1.185,1,7.1,348.9,400.0,-0.22,0.914,0.139,0.012,0.087,37.6,2.3,202.3,237.6,273.9,237.0,74.5,1,23.47,0,0,suitable,0
1986,maize,1,27,45.8,1,17.4,47.4,-1.385,0,7.1,348.9,400.0,-0.22,0.778,0.152,0.0,0.157,25.9,-16.6,313.4,355.9,397.9,397.5,96.6,0,22.9,0,0,suitable,0
1986,beans,0,27,45.8,1,17.4,47.4,-1.385,0,7.1,348.9,400.0,-0.22,0.938,0.151,0.003,0.077,42.5,9.5,209.5,242.5,278.3,251.8,96.6,0,23.21,0,0,suitable,0
1986,maize,1,28,66.0,1,20.2,66.0,-1.201,1,7.1,348.9,400.0,-0.22,0.676,0.079,0.0,0.186,15.6,-24.6,305.4,345.6,388.7,406.9,121.1,0,22.8,0,0,suitable,0
1986,beans,0,28,66.0,1,20.2,66.0,-1.201,1,7.1,348.9,400.0,-0.22,0.962,0.079,0.003,0.043,47.8,14.7,214.7,247.8,281.4,262.5,121.1,0,22.76,0,0,suitable,0
1986,maize,1,29,102.8,1,36.9,74.5,-0.998,1,7.1,348.9,400.0,-0.22,0.459,0.05,0.0,0.285,-3.3,-44.6,285.4,326.7,370.5,396.7,126.2,0,22.68,0,0,suitable,0
1986,beans,0,29,102.8,1,36.9,74.5,-0.998,1,7.1,348.9,400.0,-0.22,0.943,0.05,0.004,0.044,37.1,6.7,206.7,237.1,269.7,270.1,126.2,0,22.2,0,0,suitable,0
1986,maize,1,30,142.4,1,39.6,96.6,-0.341,1,7.1,348.9,400.0,-0.22,0.338,0.005,0.0,0.332,-16.5,-54.5,275.5,313.5,358.0,392.9,123.0,0,22.57,0,0,suitable,0
1986,beans,0,30,142.4,1,39.6,96.6,-0.341,1,7.1,348.9,400.0,-0.22,0.929,0.005,0.002,0.037,33.1,4.3,204.3,233.1,260.2,259.1,123.0,0,22.13,0,0,suitable,0
1986,maize,1,31,187.0,1,44.6,121.1,0.276,1,7.1,348.9,400.0,-0.22,0.162,0.001,0.0,0.419,-31.0,-69.0,261.0,299.0,344.7,362.5,110.5,0,22.55,0,0,suitable,0
1986,beans,0,31,187.0,1,44.6,121.1,0.276,1,7.1,348.9,400.0,-0.22,0.728,0.001,0.005,0.137,11.0,-14.4,185.6,211.0,237.4,229.6,110.5,0,22.04,0,0,suitable,0
1986,maize,1,32,229.0,1,41.9,126.2,0.395,1,7.1,348.9,400.0,-0.22,0.226,0.0,0.001,0.387,-27.1,-69.2,260.8,302.9,350.1,365.1,99.5,0,22.65,0,0,suitable,0
1986,beans,0,32,229.0,1,41.9,126.2,0.395,1,7.1,348.9,400.0,-0.22,0.258,0.0,0.015,0.374,-12.7,-38.6,161.4,187.3,213.5,214.3,99.5,0,22.27,0,0,suitable,0
1986,maize,1,33,265.4,1,36.4,123.0,0.363,1,7.1,348.9,400.0,-0.22,0.239,0.002,0.0,0.381,-22.7,-67.9,262.1,307.3,351.5,372.7,107.5,0,22.7,0,0,suitable,0
1986,beans,0,33,265.4,1,36.4,123.0,0.363,1,7.1,348.9,400.0,-0.22,0.035,0.001,0.058,0.494,-35.1,-61.2,138.8,164.9,191.9,207.5,107.5,0,22.53,0,0,suitable,0
1987,maize,1,25,0.0,0,20.4,41.5,0.179,1,43.1,384.5,401.5,0.019,0.985,0.064,0.0,0.027,67.9,29.6,359.6,397.9,440.1,443.1,105.2,1,24.12,0,0,suitable,0
1987,beans,0,25,0.0,0,20.4,41.5,0.179,1,43.1,384.5,401.5,0.019,0.93,0.046,0.06,0.061,38.7,5.8,205.8,238.7,273.7,279.2,105.2,1,24.21,0,1,risky,1
