Time,Merged Station-Satellite Rainfall
1-10 Jan 1981,24.47059
11-20 Jan 1981,10.87783
21-31 Jan 1981,13.90498
1-10 Feb 1981,15.46606
11-20 Feb 1981,18.48416
21-28 Feb 1981,15.60633
1-10 Mar 1981,40.16742
11-20 Mar 1981,61.41177
21-31 Mar 1981,71.62896
1-10 Apr 1981,47.60633
11-20 Apr 1981,60.42534
21-30 Apr 1981,32.8552
1-10 May 1981,34.04525
11-20 May 1981,56.31674
21-31 May 1981,14.54751
1-10 Jun 1981,6.21267
11-20 Jun 1981,3.959276
21-30 Jun 1981,2.904977
1-10 Jul 1981,0.321267
11-20 Jul 1981,1.954751
21-31 Jul 1981,3.488688
1-10 Aug 1981,3.470588
11-20 Aug 1981,27.52489
21-31 Aug 1981,14.82805
1-10 Sep 1981,26.64706
11-20 Sep 1981,15.26244
21-30 Sep 1981,34.83258
1-10 Oct 1981,29.62443
11-20 Oct 1981,19.85973
21-31 Oct 1981,38.60181
1-10 Nov 1981,36.56108
11-20 Nov 1981,21.26697
21-30 Nov 1981,26.95023
1-10 Dec 1981,22.76018
11-20 Dec 1981,28.61086
21-31 Dec 1981,22.15385
1-10 Jan 1982,30.00905
11-20 Jan 1982,20.85068
21-31 Jan 1982,16.62896
1-10 Feb 1982,9.484163
11-20 Feb 1982,6.828054
21-28 Feb 1982,7.719457
1-10 Mar 1982,22.35747
11-20 Mar 1982,30.0724
21-31 Mar 1982,39.83258
1-10 Apr 1982,45.59276
11-20 Apr 1982,35.64706
21-30 Apr 1982,69.51131
1-10 May 1982,58.37104
11-20 May 1982,29.8371
21-31 May 1982,26.16742
1-10 Jun 1982,21.49774
11-20 Jun 1982,3.036199
21-30 Jun 1982,9.565611
1-10 Jul 1982,0.561086
11-20 Jul 1982,1.239819
21-31 Jul 1982,1.846154
1-10 Aug 1982,8.42534
11-20 Aug 1982,2.945701
21-31 Aug 1982,10.50679
1-10 Sep 1982,17.55204
11-20 Sep 1982,43.09955
21-30 Sep 1982,39.99548
1-10 Oct 1982,20.0543
11-20 Oct 1982,43.74208
21-31 Oct 1982,37.31222
1-10 Nov 1982,39.02262
11-20 Nov 1982,29.8371
21-30 Nov 1982,56.8371
1-10 Dec 1982,41.52941
11-20 Dec 1982,37.04977
21-31 Dec 1982,22.62443
1-10 Jan 1983,8.438914
11-20 Jan 1983,0.0
21-31 Jan 1983,6.253394
1-10 Feb 1983,21.41629
11-20 Feb 1983,21.2172
21-28 Feb 1983,0.7330317
1-10 Mar 1983,17.93665
11-20 Mar 1983,35.94118
21-31 Mar 1983,62.40724
1-10 Apr 1983,33.1991
11-20 Apr 1983,41.94118
21-30 Apr 1983,77.1448
1-10 May 1983,20.44796
11-20 May 1983,11.70588
21-31 May 1983,27.42534
1-10 Jun 1983,0.6108598
11-20 Jun 1983,0.0
21-30 Jun 1983,1.366516
1-10 Jul 1983,0.642534
11-20 Jul 1983,2.19457
21-31 Jul 1983,1.986425
1-10 Aug 1983,14.57919
11-20 Aug 1983,22.29412
21-31 Aug 1983,17.06787
1-10 Sep 1983,37.17195
11-20 Sep 1983,20.39819
21-30 Sep 1983,29.22624
1-10 Oct 1983,19.86878
11-20 Oct 1983,43.00905
21-31 Oct 1983,32.81448
1-10 Nov 1983,41.26244
11-20 Nov 1983,27.19004
21-30 Nov 1983,34.75566
1-10 Dec 1983,27.77828
11-20 Dec 1983,33.0181
21-31 Dec 1983,37.7466
1-10 Jan 1984,18.54751
11-20 Jan 1984,23.67873
21-31 Jan 1984,5.140272
1-10 Feb 1984,18.82805
11-20 Feb 1984,11.19909
21-29 Feb 1984,13.44344
1-10 Mar 1984,37.33032
11-20 Mar 1984,61.65611
21-31 Mar 1984,26.79185
1-10 Apr 1984,56.99095
11-20 Apr 1984,36.8914
21-30 Apr 1984,38.0
1-10 May 1984,5.900453
11-20 May 1984,17.0905
21-31 May 1984,9.434389
1-10 Jun 1984,0.0
11-20 Jun 1984,0.0
21-30 Jun 1984,0.0
1-10 Jul 1984,0.361991
11-20 Jul 1984,0.0
21-31 Jul 1984,34.66516
1-10 Aug 1984,2.859729
11-20 Aug 1984,5.624434
21-31 Aug 1984,34.66516
1-10 Sep 1984,15.03167
11-20 Sep 1984,20.95023
21-30 Sep 1984,19.99095
1-10 Oct 1984,65.52036
11-20 Oct 1984,23.24434
21-31 Oct 1984,18.9095
1-10 Nov 1984,28.67873
11-20 Nov 1984,49.76923
21-30 Nov 1984,33.23529
1-10 Dec 1984,31.60181
11-20 Dec 1984,28.0362
21-31 Dec 1984,31.59728
1-10 Jan 1985,10.93665
11-20 Jan 1985,3.809955
21-31 Jan 1985,38.29864
1-10 Feb 1985,29.67873
11-20 Feb 1985,17.28959
21-28 Feb 1985,9.615385
1-10 Mar 1985,20.66968
11-20 Mar 1985,22.57919
21-31 Mar 1985,61.97738
1-10 Apr 1985,41.75566
11-20 Apr 1985,83.80543
21-30 Apr 1985,80.1629
1-10 May 1985,26.63348
11-20 May 1985,29.45701
21-31 May 1985,8.941176
1-10 Jun 1985,0.0
11-20 Jun 1985,9.914027
21-30 Jun 1985,7.533937
1-10 Jul 1985,0.0
11-20 Jul 1985,1.760181
21-31 Jul 1985,5.00905
1-10 Aug 1985,0.9049774
11-20 Aug 1985,0.05429864
21-31 Aug 1985,0.1266968
1-10 Sep 1985,45.1267
11-20 Sep 1985,24.95023
21-30 Sep 1985,28.13575
1-10 Oct 1985,31.25339
11-20 Oct 1985,35.95475
21-31 Oct 1985,33.28054
1-10 Nov 1985,35.70588
11-20 Nov 1985,46.49321
21-30 Nov 1985,36.39819
1-10 Dec 1985,35.96833
11-20 Dec 1985,21.06787
21-31 Dec 1985,25.63801
1-10 Jan 1986,32.45249
11-20 Jan 1986,1.968326
21-31 Jan 1986,20.79638
1-10 Feb 1986,29.38461
11-20 Feb 1986,27.0543
21-28 Feb 1986,8.375566
1-10 Mar 1986,52.36652
11-20 Mar 1986,28.30317
21-31 Mar 1986,29.83258
1-10 Apr 1986,54.48416
11-20 Apr 1986,41.93665
21-30 Apr 1986,72.26697
1-10 May 1986,35.55656
11-20 May 1986,15.78281
21-31 May 1986,18.37104
1-10 Jun 1986,20.04977
11-20 Jun 1986,0.5429865
21-30 Jun 1986,0.0
1-10 Jul 1986,0.0
11-20 Jul 1986,0.2307692
21-31 Jul 1986,0.0
1-10 Aug 1986,3.343891
11-20 Aug 1986,1.904977
21-31 Aug 1986,1.651584
1-10 Sep 1986,28.35747
11-20 Sep 1986,17.40724
21-30 Sep 1986,20.19909
1-10 Oct 1986,36.85973
11-20 Oct 1986,39.57014
21-31 Oct 1986,44.64253
1-10 Nov 1986,41.9457
11-20 Nov 1986,36.39367
21-30 Nov 1986,32.14932
