Time, Gridded Maximum Temperature
1-10 Jan 1961,24.69634
11-20 Jan 1961,24.5675
21-31 Jan 1961,22.88312
1-10 Feb 1961,20.11068
11-20 Feb 1961,21.77223
21-28 Feb 1961,21.67263
1-10 Mar 1961,22.62623
11-20 Mar 1961,21.72187
21-31 Mar 1961,21.05122
1-10 Apr 1961,20.71578
11-20 Apr 1961,21.50173
21-30 Apr 1961,21.14124
1-10 May 1961,21.54967
11-20 May 1961,21.97903
21-31 May 1961,22.36549
1-10 Jun 1961,21.9887
11-20 Jun 1961,22.78083
21-30 Jun 1961,21.74277
1-10 Jul 1961,22.19669
11-20 Jul 1961,20.9443
21-31 Jul 1961,20.83973
1-10 Aug 1961,21.05954
11-20 Aug 1961,21.31011
21-31 Aug 1961,21.77651
1-10 Sep 1961,22.39416
11-20 Sep 1961,21.76417
21-30 Sep 1961,21.90502
1-10 Oct 1961,22.17985
11-20 Oct 1961,21.39963
21-31 Oct 1961,20.22428
1-10 Nov 1961,20.37269
11-20 Nov 1961,20.92702
21-30 Nov 1961,21.09299
1-10 Dec 1961,22.10987
11-20 Dec 1961,21.15923
21-31 Dec 1961,22.29828
1-10 Jan 1962,21.33583
11-20 Jan 1962,22.54024
21-31 Jan 1962,22.82951
1-10 Feb 1962,22.22303
11-20 Feb 1962,22.47505
21-28 Feb 1962,21.43111
1-10 Mar 1962,21.58226
11-20 Mar 1962,21.56373
21-31 Mar 1962,21.57136
1-10 Apr 1962,22.3912
11-20 Apr 1962,20.95874
21-30 Apr 1962,21.05622
1-10 May 1962,21.21688
11-20 May 1962,19.97333
21-31 May 1962,21.30794
1-10 Jun 1962,21.75803
11-20 Jun 1962,21.71814
21-30 Jun 1962,21.4121
1-10 Jul 1962,21.64045
11-20 Jul 1962,21.58448
21-31 Jul 1962,22.12083
1-10 Aug 1962,21.83157
11-20 Aug 1962,20.17349
21-31 Aug 1962,20.78141
1-10 Sep 1962,21.82807
11-20 Sep 1962,20.05904
21-30 Sep 1962,21.64364
1-10 Oct 1962,22.37872
11-20 Oct 1962,22.01301
21-31 Oct 1962,21.85354
1-10 Nov 1962,22.2513
11-20 Nov 1962,22.08216
21-30 Nov 1962,21.6502
1-10 Dec 1962,21.88724
11-20 Dec 1962,21.87905
21-31 Dec 1962,22.07121
1-10 Jan 1963,22.21595
11-20 Jan 1963,22.761
21-31 Jan 1963,21.59987
1-10 Feb 1963,21.23182
11-20 Feb 1963,22.24422
21-28 Feb 1963,21.30398
1-10 Mar 1963,21.00175
11-20 Mar 1963,21.57936
21-31 Mar 1963,21.93675
1-10 Apr 1963,21.88938
11-20 Apr 1963,20.65737
21-30 Apr 1963,19.58188
1-10 May 1963,21.03531
11-20 May 1963,21.17618
21-31 May 1963,21.75881
1-10 Jun 1963,20.17053
11-20 Jun 1963,21.40195
21-30 Jun 1963,21.41904
1-10 Jul 1963,21.84723
11-20 Jul 1963,20.82215
21-31 Jul 1963,21.12829
1-10 Aug 1963,21.06868
11-20 Aug 1963,20.51171
21-31 Aug 1963,22.65027
1-10 Sep 1963,24.53034
11-20 Sep 1963,23.49152
21-30 Sep 1963,22.28587
1-10 Oct 1963,23.39515
11-20 Oct 1963,23.49789
21-31 Oct 1963,25.28922
1-10 Nov 1963,21.34026
11-20 Nov 1963,21.85102
21-30 Nov 1963,21.96682
1-10 Dec 1963,21.38671
11-20 Dec 1963,21.68795
21-31 Dec 1963,21.27336
1-10 Jan 1964,22.28894
11-20 Jan 1964,23.99669
21-31 Jan 1964,23.90071
1-10 Feb 1964,22.37168
11-20 Feb 1964,20.87503
21-29 Feb 1964,21.94674
1-10 Mar 1964,22.76101
11-20 Mar 1964,22.2046
