Time, Gridded Minimum Temperature
1-10 Jan 1961,12.86797
11-20 Jan 1961,13.52563
21-31 Jan 1961,13.38079
1-10 Feb 1961,13.56998
11-20 Feb 1961,12.38811
21-28 Feb 1961,13.41421
1-10 Mar 1961,13.01192
11-20 Mar 1961,13.30959
21-31 Mar 1961,12.3566
1-10 Apr 1961,12.62534
11-20 Apr 1961,12.70323
21-30 Apr 1961,12.53629
1-10 May 1961,12.92101
11-20 May 1961,13.43967
21-31 May 1961,12.64297
1-10 Jun 1961,12.30123
11-20 Jun 1961,12.19901
21-30 Jun 1961,12.64692
1-10 Jul 1961,13.26399
11-20 Jul 1961,12.54526
21-31 Jul 1961,13.26427
1-10 Aug 1961,12.75296
11-20 Aug 1961,13.81643
21-31 Aug 1961,13.80474
1-10 Sep 1961,13.56062
11-20 Sep 1961,13.37533
21-30 Sep 1961,13.18593
1-10 Oct 1961,13.10519
11-20 Oct 1961,13.01925
21-31 Oct 1961,13.31745
1-10 Nov 1961,13.71927
11-20 Nov 1961,13.38889
21-30 Nov 1961,13.10817
1-10 Dec 1961,12.95754
11-20 Dec 1961,12.67601
21-31 Dec 1961,13.01435
1-10 Jan 1962,13.78579
11-20 Jan 1962,13.39155
21-31 Jan 1962,13.59682
1-10 Feb 1962,12.3656
11-20 Feb 1962,12.54412
21-28 Feb 1962,13.19989
1-10 Mar 1962,12.89733
11-20 Mar 1962,12.77638
21-31 Mar 1962,12.6498
1-10 Apr 1962,13.21468
11-20 Apr 1962,13.39995
21-30 Apr 1962,13.26541
1-10 May 1962,13.32698
11-20 May 1962,13.08397
21-31 May 1962,12.01381
1-10 Jun 1962,11.85115
11-20 Jun 1962,13.04204
21-30 Jun 1962,13.07208
1-10 Jul 1962,11.8012
11-20 Jul 1962,12.00645
21-31 Jul 1962,12.47975
1-10 Aug 1962,13.17371
11-20 Aug 1962,13.67218
21-31 Aug 1962,12.28075
1-10 Sep 1962,12.70845
11-20 Sep 1962,12.40421
