crop,window_id,window_label,simulation_run,sim_cycle_rain_mm,sim_mean_tmax_c,rain_sufficient,estab_dry_spell,temp_stress
maize,25,1-10 Sep,0,387.6,22.75,1,0,0
maize,25,1-10 Sep,1,464.9,23.27,1,0,0
maize,25,1-10 Sep,2,402.7,23.6,1,0,0
maize,25,1-10 Sep,3,414.4,23.59,1,0,0
maize,25,1-10 Sep,4,369.8,23.24,1,0,0
maize,25,1-10 Sep,5,418.1,23.17,1,0,0
maize,25,1-10 Sep,6,344.3,22.6,1,0,0
maize,25,1-10 Sep,7,414.6,22.32,1,0,0
maize,25,1-10 Sep,8,413.0,23.59,1,0,0
maize,25,1-10 Sep,9,412.8,22.43,1,0,0
maize,25,1-10 Sep,10,465.1,23.29,1,0,0
maize,25,1-10 Sep,11,362.5,23.16,1,0,0
maize,25,1-10 Sep,12,354.3,22.94,1,0,0
maize,25,1-10 Sep,13,428.3,23.26,1,0,0
maize,25,1-10 Sep,14,403.4,23.04,1,0,0
maize,25,1-10 Sep,15,370.2,23.06,1,0,0
maize,25,1-10 Sep,16,434.7,22.54,1,0,0
maize,25,1-10 Sep,17,350.9,23.06,1,1,0
maize,25,1-10 Sep,18,413.5,22.76,1,0,0
maize,25,1-10 Sep,19,400.9,22.93,1,0,0
maize,25,1-10 Sep,20,389.0,23.4,1,0,0
maize,25,1-10 Sep,21,361.7,23.47,1,0,0
maize,25,1-10 Sep,22,312.1,23.06,0,0,0
maize,25,1-10 Sep,23,427.0,23.69,1,0,0
maize,25,1-10 Sep,24,405.5,23.27,1,0,0
maize,25,1-10 Sep,25,421.5,23.07,1,0,0
maize,25,1-10 Sep,26,382.4,22.99,1,1,0
maize,25,1-10 Sep,27,367.9,22.77,1,0,0
maize,25,1-10 Sep,28,419.7,23.12,1,0,0
maize,25,1-10 Sep,29,397.8,23.28,1,0,0
maize,25,1-10 Sep,30,367.8,23.5,1,1,0
maize,25,1-10 Sep,31,411.2,22.56,1,0,0
maize,25,1-10 Sep,32,398.0,22.76,1,0,0
maize,25,1-10 Sep,33,457.6,23.22,1,0,0
maize,25,1-10 Sep,34,437.9,23.66,1,0,0
maize,25,1-10 Sep,35,424.3,23.08,1,0,0
maize,25,1-10 Sep,36,380.1,23.11,1,0,0
maize,25,1-10 Sep,37,341.0,23.39,1,0,0
maize,25,1-10 Sep,38,441.5,23.22,1,0,0
maize,25,1-10 Sep,39,423.3,22.82,1,0,0
maize,25,1-10 Sep,40,367.7,22.87,1,0,0
maize,25,1-10 Sep,41,392.1,23.14,1,0,0
maize,25,1-10 Sep,42,394.8,22.95,1,0,0
maize,25,1-10 Sep,43,357.0,22.84,1,0,0
maize,25,1-10 Sep,44,437.4,23.11,1,0,0
maize,25,1-10 Sep,45,422.9,22.76,1,0,0
maize,25,1-10 Sep,46,374.3,23.03,1,0,0
maize,25,1-10 Sep,47,452.1,22.72,1,0,0
maize,25,1-10 Sep,48,409.7,23.18,1,0,0
maize,25,1-10 Sep,49,430.0,23.07,1,0,0
maize,25,1-10 Sep,50,404.0,22.65,1,0,0
maize,25,1-10 Sep,51,393.7,22.84,1,0,0
maize,25,1-10 Sep,52,441.4,23.03,1,0,0
maize,25,1-10 Sep,53,394.8,22.84,1,0,0
maize,25,1-10 Sep,54,439.0,23.13,1,0,0
maize,25,1-10 Sep,55,387.2,22.67,1,0,0
maize,25,1-10 Sep,56,375.7,23.2,1,0,0
maize,25,1-10 Sep,57,407.6,23.08,1,0,0
maize,25,1-10 Sep,58,371.8,22.99,1,0,0
maize,25,1-10 Sep,59,417.5,22.95,1,0,0
maize,25,1-10 Sep,60,410.7,22.73,1,0,0
maize,25,1-10 Sep,61,326.6,23.35,0,0,0
maize,25,1-10 Sep,62,438.9,23.43,1,0,0
maize,25,1-10 Sep,63,390.4,22.82,1,0,0
maize,25,1-10 Sep,64,439.8,23.43,1,0,0
maize,25,1-10 Sep,65,409.4,23.32,1,0,0
maize,25,1-10 Sep,66,371.5,23.23,1,0,0
maize,25,1-10 Sep,67,372.3,22.85,1,0,0
maize,25,1-10 Sep,68,384.8,22.67,1,0,0
maize,25,1-10 Sep,69,399.7,23.02,1,0,0
maize,25,1-10 Sep,70,386.2,22.79,1,0,0
maize,25,1-10 Sep,71,403.4,23.16,1,0,0
maize,25,1-10 Sep,72,398.1,23.51,1,0,0
maize,25,1-10 Sep,73,453.3,23.13,1,0,0
maize,25,1-10 Sep,74,402.9,23.16,1,0,0
maize,25,1-10 Sep,75,398.2,23.28,1,0,0
maize,25,1-10 Sep,76,411.1,22.77,1,0,0
maize,25,1-10 Sep,77,358.4,23.6,1,0,0
maize,25,1-10 Sep,78,420.4,22.98,1,0,0
maize,25,1-10 Sep,79,390.8,23.06,1,0,0
maize,25,1-10 Sep,80,368.4,23.62,1,1,0
maize,25,1-10 Sep,81,426.4,23.15,1,0,0
maize,25,1-10 Sep,82,419.6,23.34,1,0,0
maize,25,1-10 Sep,83,389.2,23.16,1,0,0
maize,25,1-10 Sep,84,423.1,23.2,1,0,0
maize,25,1-10 Sep,85,357.1,23.76,1,0,0
maize,25,1-10 Sep,86,378.4,23.61,1,0,0
maize,25,1-10 Sep,87,405.4,22.8,1,0,0
maize,25,1-10 Sep,88,414.6,22.83,1,0,0
maize,25,1-10 Sep,89,408.8,23.32,1,0,0
maize,25,1-10 Sep,90,451.1,22.92,1,0,0
maize,25,1-10 Sep,91,373.0,22.69,1,1,0
maize,25,1-10 Sep,92,444.1,23.19,1,0,0
maize,25,1-10 Sep,93,493.9,23.23,1,0,0
